Uygulama,Kategori,Baslangic,Bitis,Sure
Code,İş,2026-07-28 13:46,2026-07-28 13:46,6 saniye
Google Chrome,Diğer,2026-07-28 13:46,2026-07-28 13:46,6 saniye
MSTeams,İş,2026-07-28 13:46,2026-07-28 13:46,6 saniye
Spotify,Eğlence,2026-07-28 13:46,2026-07-28 13:47,11 saniye
WhatsApp,Sosyal Medya,2026-07-28 13:47,2026-07-28 13:47,8 saniye
Terminal,Diğer,2026-07-28 13:47,2026-07-28 13:47,2 saniye
WhatsApp,Sosyal Medya,2026-07-28 13:47,2026-07-28 13:47,0 saniye
Code,İş,2026-07-28 13:47,2026-07-28 13:48,1 dakika
Code,İş,2026-07-31 13:19,2026-07-31 13:19,4 saniye
MSTeams,İş,2026-07-31 13:19,2026-07-31 13:19,4 saniye
Spotify,Eğlence,2026-07-31 13:19,2026-07-31 13:20,4 saniye
Code,İş,2026-07-31 13:20,2026-07-31 13:20,0 saniye
Code,İş,2026-07-31 13:30,2026-07-31 13:31,32 saniye
Code,İş,2026-07-31 13:51,2026-07-31 13:52,10 saniye
Code,İş,2026-07-31 14:01,2026-07-31 14:05,4 dakika
